"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2017","545.00","545.00","545.00","545.00","-","-0.37%"
"Sep 25, 2017","547.00","547.00","547.00","547.00","-","0.00%"
"Sep 22, 2017","547.00","547.00","547.00","547.00","-","-0.55%"
"Sep 21, 2017","550.00","550.00","550.00","550.00","-","0.00%"
"Sep 20, 2017","550.00","550.00","550.00","550.00","-","-0.18%"
"Sep 19, 2017","551.00","551.00","551.00","551.00","-","-0.36%"
"Sep 18, 2017","553.00","553.00","553.00","553.00","-","-0.90%"
"Sep 15, 2017","558.00","558.00","558.00","558.00","-","-0.36%"
"Sep 14, 2017","560.00","560.00","560.00","560.00","0.00K","0.00%"
"Sep 13, 2017","560.00","560.00","560.00","560.00","0.00K","0.00%"
"Sep 12, 2017","560.00","560.00","560.00","560.00","0.01K","-0.18%"
"Sep 11, 2017","561.00","561.00","561.00","561.00","0.02K","-0.36%"
"Sep 08, 2017","563.00","563.00","563.00","563.00","0.09K","-0.35%"
"Sep 07, 2017","565.00","565.00","565.00","565.00","0.22K","1.99%"
"Sep 06, 2017","554.00","554.00","554.00","554.00","0.03K","-0.36%"
"Sep 05, 2017","556.00","556.00","556.00","556.00","0.03K","0.72%"
"Sep 04, 2017","552.00","552.00","552.00","552.00","0.05K","1.10%"
"Sep 01, 2017","546.00","546.00","546.00","546.00","0.01K","0.74%"
"Aug 31, 2017","542.00","542.00","542.00","542.00","-","4.03%"
"Aug 30, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Aug 29, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Aug 25, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Aug 24, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Aug 23, 2017","521.00","521.00","521.00","521.00","-","0.00%"
"Aug 22, 2017","521.00","521.00","521.00","521.00","0.00K","0.19%"
"Aug 21, 2017","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 18, 2017","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 17, 2017","520.00","520.00","520.00","520.00","-","0.00%"
"Aug 16, 2017","520.00","520.00","520.00","520.00","-","-0.38%"
"Aug 15, 2017","522.00","522.00","522.00","522.00","-","0.00%"
"Aug 14, 2017","522.00","522.00","522.00","522.00","-","0.00%"
"Aug 11, 2017","522.00","522.00","522.00","522.00","-","-0.57%"
"Aug 10, 2017","525.00","525.00","525.00","525.00","0.12K","0.57%"
"Aug 09, 2017","522.00","522.00","522.00","522.00","0.01K","0.00%"
"Aug 08, 2017","522.00","522.00","522.00","522.00","0.10K","-1.32%"
"Aug 07, 2017","529.00","529.00","529.00","529.00","0.03K","1.34%"
"Aug 04, 2017","522.00","522.00","522.00","522.00","0.03K","0.77%"
"Aug 03, 2017","518.00","518.00","518.00","518.00","0.05K","-0.19%"
"Aug 02, 2017","519.00","519.00","519.00","519.00","0.20K","1.57%"
"Aug 01, 2017","511.00","511.00","511.00","511.00","0.04K","1.39%"
"Jul 31, 2017","504.00","504.00","504.00","504.00","0.04K","0.80%"
"Jul 28, 2017","500.00","500.00","500.00","500.00","0.21K","0.30%"
"Jul 27, 2017","498.50","498.50","498.50","498.50","0.10K","8.84%"
"Jul 26, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 25, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 24, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 21, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 20, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 19, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 18, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 17, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 14, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 13, 2017","458.00","458.00","458.00","458.00","-","0.00%"
"Jul 12, 2017","458.00","458.00","458.00","458.00","0.03K","-0.87%"
"Jul 11, 2017","462.00","462.00","462.00","462.00","0.05K","0.43%"
"Jul 10, 2017","460.00","460.00","460.00","460.00","0.05K","0.88%"
"Jul 07, 2017","456.00","456.00","456.00","456.00","0.00K","0.88%"
"Jul 06, 2017","452.00","452.00","452.00","452.00","-","0.00%"
"Jul 05, 2017","452.00","452.00","452.00","452.00","0.04K","0.67%"
"Jul 04, 2017","449.00","449.00","449.00","449.00","0.01K","-0.66%"
"Jul 03, 2017","452.00","452.00","452.00","452.00","0.02K","5.84%"
"Jun 30, 2017","427.07","427.07","427.07","427.07","-","-0.45%"
"Jun 29, 2017","429.00","429.00","429.00","429.00","-","0.00%"
"Jun 28, 2017","429.00","429.00","429.00","429.00","0.00K","-0.23%"
"Jun 27, 2017","430.00","430.00","430.00","430.00","0.00K","-0.46%"
"Jun 26, 2017","432.00","432.00","432.00","432.00","-","0.00%"
"Jun 23, 2017","432.00","432.00","432.00","432.00","-","0.00%"
"Jun 22, 2017","432.00","432.00","432.00","432.00","-","0.00%"
"Jun 21, 2017","432.00","432.00","432.00","432.00","0.00K","-0.23%"
"Jun 20, 2017","433.00","433.00","433.00","433.00","-","-0.23%"
"Jun 19, 2017","434.00","434.00","434.00","434.00","-","0.00%"
"Jun 16, 2017","434.00","434.00","434.00","434.00","0.00K","-1.36%"
"Jun 15, 2017","440.00","440.00","440.00","440.00","0.05K","1.62%"
"Jun 14, 2017","433.00","433.00","433.00","433.00","0.01K","0.00%"
"Jun 13, 2017","433.00","433.00","433.00","433.00","0.02K","-0.69%"
"Jun 12, 2017","436.00","436.00","436.00","436.00","0.00K","-0.46%"
"Jun 09, 2017","438.00","438.00","438.00","438.00","0.00K","0.46%"
"Jun 08, 2017","436.00","436.00","436.00","436.00","0.01K","0.69%"
"Jun 07, 2017","433.00","433.00","433.00","433.00","0.01K","0.00%"
"Jun 06, 2017","433.00","433.00","433.00","433.00","0.00K","-0.46%"
"Jun 05, 2017","435.00","435.00","435.00","435.00","-","-1.14%"
"Jun 02, 2017","440.00","440.00","440.00","440.00","0.00K","-1.79%"
"Jun 01, 2017","448.00","448.00","448.00","448.00","-","4.11%"
"May 31, 2017","430.33","430.33","430.33","430.33","-","-0.62%"
"May 30, 2017","433.00","433.00","433.00","433.00","-","0.00%"
"May 26, 2017","433.00","433.00","433.00","433.00","-","0.00%"
"May 25, 2017","433.00","433.00","433.00","433.00","-","0.00%"
"May 24, 2017","433.00","433.00","433.00","433.00","-","0.00%"
"May 23, 2017","433.00","433.00","433.00","433.00","0.00K","-0.46%"
"May 22, 2017","435.00","435.00","435.00","435.00","-","0.00%"
"May 19, 2017","435.00","435.00","435.00","435.00","0.00K","0.46%"
"May 18, 2017","433.00","433.00","433.00","433.00","0.00K","0.00%"
"May 17, 2017","433.00","433.00","433.00","433.00","-","0.00%"
"May 16, 2017","433.00","433.00","433.00","433.00","0.01K","0.23%"
"May 15, 2017","432.00","432.00","432.00","432.00","-","0.00%"
"May 12, 2017","432.00","432.00","432.00","432.00","-","-0.69%"
