Date,Price,Open,High,Low,Vol.,Change %
22-Jul-14,98.62,98.25,98.62,98.08,44.00K,0.38%
21-Jul-14,98.25,97.11,98.25,97.11,51.46K,1.16%
18-Jul-14,97.12,96.91,97.29,96.74,42.30K,-0.09%
17-Jul-14,97.21,96.92,97.31,96.75,34.57K,0.30%
16-Jul-14,96.92,96.84,97.16,96.67,28.87K,0.03%
15-Jul-14,96.89,97,97.12,96.83,27.73K,-0.04%
14-Jul-14,96.93,97.02,97.23,96.74,28.04K,-0.11%
11-Jul-14,97.04,97.55,97.55,97.02,32.01K,-0.51%
10-Jul-14,97.54,97.24,97.58,97.2,32.41K,-0.07%
9-Jul-14,97.61,97.84,97.91,97.33,23.39K,-0.24%
8-Jul-14,97.84,97.83,97.88,97.3,24.59K,0.28%
7-Jul-14,97.57,97.42,97.59,97.06,31.53K,0.20%
4-Jul-14,97.38,97.75,97.81,97.23,41.16K,-0.56%
3-Jul-14,97.93,97.92,98.08,97.58,45.28K,-0.02%
2-Jul-14,97.95,98.22,98.36,97.54,40.37K,-0.15%
1-Jul-14,98.1,97.84,98.26,97.71,30.92K,-0.16%
30-Jun-14,98.26,97.94,98.26,97.94,27.67K,0.19%
27-Jun-14,98.07,98.33,98.41,98.06,22.78K,-0.53%
26-Jun-14,98.59,98.05,98.59,97.82,30.60K,0.57%
25-Jun-14,98.03,98.71,98.82,98.03,25.32K,-0.95%
24-Jun-14,98.97,98.76,99.15,98.66,25.65K,0.21%
23-Jun-14,98.76,99.34,99.46,98.76,32.17K,-0.70%
20-Jun-14,99.46,99.66,99.85,98.99,36.38K,-0.08%
19-Jun-14,99.54,99.28,99.6,98.8,48.86K,0.38%
18-Jun-14,99.16,97.65,99.38,97.6,63.71K,1.53%
17-Jun-14,97.67,97.53,98,97.53,36.40K,0.16%
16-Jun-14,97.51,97.75,97.8,97.02,31.79K,-0.25%
13-Jun-14,97.75,97.22,97.75,97.16,28.38K,0.53%
12-Jun-14,97.23,97.33,97.59,96.93,30.19K,-0.09%
11-Jun-14,97.32,97.23,97.32,96.95,27.92K,0.13%
10-Jun-14,97.19,96.87,97.19,96.63,34.62K,0.26%
9-Jun-14,96.94,97.19,97.26,96.63,33.08K,-0.19%
6-Jun-14,97.12,96.84,97.12,96.59,32.52K,0.33%
5-Jun-14,96.8,96.84,96.84,96.39,37.08K,-0.05%
4-Jun-14,96.85,97.32,97.32,96.61,38.08K,-0.74%
3-Jun-14,97.57,96.97,97.58,96.85,47.76K,1.03%
30-May-14,96.58,97.69,98.06,96.58,94.55K,-1.15%
29-May-14,97.7,98.04,98.22,97.7,32.10K,-0.45%
28-May-14,98.14,97.86,98.3,97.76,35.14K,0.35%
27-May-14,97.8,98.03,98.06,97.52,28.87K,-0.19%
26-May-14,97.99,98.47,98.5,97.99,29.98K,-0.41%
23-May-14,98.39,97.85,98.45,97.85,33.52K,0.50%
22-May-14,97.9,97.31,98.03,97.31,32.37K,0.64%
21-May-14,97.28,97.49,97.78,97.1,31.72K,-0.27%
20-May-14,97.54,97.97,98.12,97.5,50.68K,-0.49%
19-May-14,98.02,98.04,98.17,97.79,35.17K,-0.37%
16-May-14,98.38,98.71,98.71,98.01,45.87K,-0.58%
15-May-14,98.95,99.01,99.29,98.67,35.07K,-0.73%
14-May-14,99.68,100.13,100.19,99.15,40.47K,-0.47%
13-May-14,100.15,100,100.5,99.84,60.54K,0.37%
12-May-14,99.78,99.95,99.95,99.34,60.72K,-0.08%
9-May-14,99.86,99.12,99.89,99.12,64.81K,0.69%
8-May-14,99.18,99.08,99.18,98.92,44.46K,0.20%
7-May-14,98.98,99.29,99.33,98.73,30.40K,-0.42%
6-May-14,99.4,99.21,99.4,98.92,27.21K,0.22%
5-May-14,99.18,99.33,99.5,98.93,29.85K,-0.17%
2-May-14,99.35,99.1,99.65,99.1,24.67K,0.22%
30-Apr-14,99.13,98.89,100.15,98.52,49.83K,0.34%
29-Apr-14,98.79,98.75,99.16,98.64,27.70K,0.15%
28-Apr-14,98.64,97.67,98.74,97.55,42.60K,-0.50%
25-Apr-14,99.14,100.64,100.65,98.89,58.70K,-1.64%
24-Apr-14,100.79,100.77,100.95,100.51,35.40K,0.00%
23-Apr-14,100.79,100.86,101.3,100.53,38.64K,0.05%
22-Apr-14,100.74,101.12,101.31,100.74,49.44K,-0.24%
21-Apr-14,100.98,100.85,101.48,100.72,77.34K,0.02%
18-Apr-14,100.96,100.88,101.05,100.53,26.47K,0.16%
17-Apr-14,100.8,100.8,101.15,100.66,38.51K,0.06%
16-Apr-14,100.74,101.17,101.52,100.57,35.44K,-0.39%
15-Apr-14,101.13,100.63,101.13,100.1,30.96K,0.60%
14-Apr-14,100.53,100.59,101.04,100.33,30.16K,-0.50%
11-Apr-14,101.04,100.94,101.21,100.57,39.14K,-0.36%
10-Apr-14,101.4,101.26,101.4,100.39,38.40K,0.36%
