id,c_name,c_date,c_price,c_open,c_high,c_low
5372,道瓊鋼鐵指數,2016-02-22,152.97,150.22,154.2,150.22
5373,道瓊鋼鐵指數,2016-02-19,149.98,151.91,151.91,149.0
5374,道瓊鋼鐵指數,2016-02-18,152.04,155.85,156.06,151.33
5375,道瓊鋼鐵指數,2016-02-17,155.86,152.49,157.05,152.49
5376,道瓊鋼鐵指數,2016-02-16,152.38,151.1,153.52,149.68
5377,道瓊鋼鐵指數,2016-02-12,150.62,143.32,151.01,143.32
5378,道瓊鋼鐵指數,2016-02-11,143.04,144.25,144.53,140.75
5379,道瓊鋼鐵指數,2016-02-10,145.21,145.24,148.48,144.8
5380,道瓊鋼鐵指數,2016-02-09,145.17,146.34,146.71,143.05
5381,道瓊鋼鐵指數,2016-02-08,147.41,149.74,149.74,145.67
5382,道瓊鋼鐵指數,2016-02-05,149.81,151.59,155.34,149.06
5383,道瓊鋼鐵指數,2016-02-04,152.73,148.95,156.63,148.95
5384,道瓊鋼鐵指數,2016-02-03,148.85,143.48,149.42,142.81
5385,道瓊鋼鐵指數,2016-02-02,143.25,145.33,145.33,142.24
5386,道瓊鋼鐵指數,2016-02-01,145.83,147.18,147.18,143.3
5387,道瓊鋼鐵指數,2016-01-29,147.25,138.45,147.27,138.38
5388,道瓊鋼鐵指數,2016-01-28,138.64,135.91,138.99,133.52
5389,道瓊鋼鐵指數,2016-01-27,135.48,138.61,138.73,134.85
5390,道瓊鋼鐵指數,2016-01-26,138.73,132.09,139.38,132.09
5391,道瓊鋼鐵指數,2016-01-25,131.98,134.69,135.06,131.79
5392,道瓊鋼鐵指數,2016-01-22,134.69,133.22,136.62,133.06
5393,道瓊鋼鐵指數,2016-01-21,133.05,132.33,134.92,131.51
5394,道瓊鋼鐵指數,2016-01-20,132.32,132.82,133.82,127.47
5395,道瓊鋼鐵指數,2016-01-19,133.07,132.65,135.37,131.16
5396,道瓊鋼鐵指數,2016-01-15,132.65,137.34,137.34,130.65
5397,道瓊鋼鐵指數,2016-01-14,137.54,135.68,138.71,134.74
5398,道瓊鋼鐵指數,2016-01-13,134.97,138.67,140.33,134.31
5399,道瓊鋼鐵指數,2016-01-12,137.73,137.95,139.23,134.25
5400,道瓊鋼鐵指數,2016-01-11,136.98,138.39,139.57,135.88
