c_name,c_date,c_price,c_open,c_high,c_low
道瓊鋼鐵指數,2019-08-14,202.29,207.0,207.63,202.18
道瓊鋼鐵指數,2019-08-13,210.56,206.26,214.73,205.11
道瓊鋼鐵指數,2019-08-12,206.49,210.75,210.8,205.5
道瓊鋼鐵指數,2019-08-09,211.69,216.4,216.59,210.63
道瓊鋼鐵指數,2019-08-08,218.51,214.51,218.99,214.43
道瓊鋼鐵指數,2019-08-07,213.75,212.34,214.24,210.1
道瓊鋼鐵指數,2019-08-06,214.79,213.28,215.05,209.68
道瓊鋼鐵指數,2019-08-05,212.51,215.47,215.47,210.58
道瓊鋼鐵指數,2019-08-02,219.16,220.81,221.98,215.99
道瓊鋼鐵指數,2019-08-01,222.34,226.3,229.48,220.26
道瓊鋼鐵指數,2019-07-31,227.99,235.04,235.85,226.74
道瓊鋼鐵指數,2019-07-30,235.06,231.75,235.16,230.37
道瓊鋼鐵指數,2019-07-29,233.79,234.75,235.48,232.36
道瓊鋼鐵指數,2019-07-26,235.42,233.86,235.94,233.05
道瓊鋼鐵指數,2019-07-25,234.04,233.35,235.93,232.97
道瓊鋼鐵指數,2019-07-24,233.11,229.93,233.67,229.68
道瓊鋼鐵指數,2019-07-23,232.74,232.7,235.29,231.51
道瓊鋼鐵指數,2019-07-22,231.72,233.99,234.94,228.83
道瓊鋼鐵指數,2019-07-19,232.69,229.14,234.24,227.7
道瓊鋼鐵指數,2019-07-18,226.65,226.22,227.73,225.09
道瓊鋼鐵指數,2019-07-17,226.42,229.2,229.33,225.54
道瓊鋼鐵指數,2019-07-16,229.8,227.17,233.51,226.46
道瓊鋼鐵指數,2019-07-15,226.82,227.29,228.24,224.33
道瓊鋼鐵指數,2019-07-12,225.93,222.16,226.27,222.12
道瓊鋼鐵指數,2019-07-11,220.98,220.8,222.06,219.81
道瓊鋼鐵指數,2019-07-10,221.48,225.57,226.65,221.3
道瓊鋼鐵指數,2019-07-09,224.0,222.08,224.13,219.17
道瓊鋼鐵指數,2019-07-08,223.88,228.06,229.72,222.83
道瓊鋼鐵指數,2019-07-05,229.25,226.25,229.72,225.0
道瓊鋼鐵指數,2019-07-03,228.54,229.18,229.63,227.66
道瓊鋼鐵指數,2019-07-02,228.67,229.99,230.17,228.24
道瓊鋼鐵指數,2019-07-01,231.36,231.3,232.4,229.49
道瓊鋼鐵指數,2019-06-28,229.28,228.14,230.06,226.68
道瓊鋼鐵指數,2019-06-27,227.14,227.44,227.98,225.5
道瓊鋼鐵指數,2019-06-26,227.39,225.31,227.95,222.76
道瓊鋼鐵指數,2019-06-25,222.87,221.53,226.16,220.85
道瓊鋼鐵指數,2019-06-24,220.65,221.8,222.53,219.06
道瓊鋼鐵指數,2019-06-21,222.24,221.85,223.38,221.44
道瓊鋼鐵指數,2019-06-20,221.82,225.84,227.83,221.34
道瓊鋼鐵指數,2019-06-19,222.83,220.5,224.26,220.5
道瓊鋼鐵指數,2019-06-18,217.46,210.88,219.78,210.72
道瓊鋼鐵指數,2019-06-17,208.35,209.99,211.1,205.77
道瓊鋼鐵指數,2019-06-14,210.51,212.42,212.44,209.84
道瓊鋼鐵指數,2019-06-13,213.13,210.51,213.77,209.85
道瓊鋼鐵指數,2019-06-12,209.42,210.39,211.13,208.86
道瓊鋼鐵指數,2019-06-11,211.35,209.76,213.29,209.71
道瓊鋼鐵指數,2019-06-10,207.59,208.78,210.68,207.27
道瓊鋼鐵指數,2019-06-07,207.02,205.94,207.84,203.33
道瓊鋼鐵指數,2019-06-06,205.65,205.79,207.11,203.34
道瓊鋼鐵指數,2019-06-05,205.81,206.26,206.26,203.07
道瓊鋼鐵指數,2019-06-04,205.84,203.53,206.46,202.51
道瓊鋼鐵指數,2019-06-03,201.38,194.92,201.8,194.82
道瓊鋼鐵指數,2019-05-31,194.84,195.09,197.56,193.66
道瓊鋼鐵指數,2019-05-30,199.55,202.59,204.9,198.94
道瓊鋼鐵指數,2019-05-29,204.46,203.45,204.93,201.84
道瓊鋼鐵指數,2019-05-28,205.96,207.7,208.07,204.9
道瓊鋼鐵指數,2019-05-24,207.3,209.71,210.63,207.0
道瓊鋼鐵指數,2019-05-23,207.42,210.36,210.65,206.09
道瓊鋼鐵指數,2019-05-22,215.05,219.09,219.59,213.91
道瓊鋼鐵指數,2019-05-21,220.52,217.15,222.0,216.78
道瓊鋼鐵指數,2019-05-20,215.56,217.32,218.55,215.15
道瓊鋼鐵指數,2019-05-17,219.12,222.07,222.07,217.28
道瓊鋼鐵指數,2019-05-16,224.83,225.97,227.3,224.41
道瓊鋼鐵指數,2019-05-15,224.84,221.24,225.31,220.06
道瓊鋼鐵指數,2019-05-14,224.96,223.29,226.09,222.4
道瓊鋼鐵指數,2019-05-13,222.22,228.51,228.51,219.72
道瓊鋼鐵指數,2019-05-10,232.67,231.13,233.45,228.82
道瓊鋼鐵指數,2019-05-09,231.94,228.35,232.69,226.82
道瓊鋼鐵指數,2019-05-08,231.32,229.49,234.57,229.35
道瓊鋼鐵指數,2019-05-07,231.3,232.88,234.36,229.27
道瓊鋼鐵指數,2019-05-06,235.48,235.35,237.03,232.9
道瓊鋼鐵指數,2019-05-03,239.13,231.94,240.11,231.76
道瓊鋼鐵指數,2019-05-02,229.12,227.48,230.88,226.66
道瓊鋼鐵指數,2019-05-01,229.1,233.71,233.93,228.93
道瓊鋼鐵指數,2019-04-30,233.59,234.23,234.59,231.84
道瓊鋼鐵指數,2019-04-29,234.21,231.58,234.45,231.58
道瓊鋼鐵指數,2019-04-26,232.29,232.91,234.37,231.82
道瓊鋼鐵指數,2019-04-25,233.23,235.55,237.14,231.87
道瓊鋼鐵指數,2019-04-24,235.97,237.23,238.79,235.92
道瓊鋼鐵指數,2019-04-23,237.88,233.67,239.35,233.67
道瓊鋼鐵指數,2019-04-22,233.97,237.33,237.57,233.17
道瓊鋼鐵指數,2019-04-18,238.19,240.02,241.09,236.65
道瓊鋼鐵指數,2019-04-17,240.48,242.34,245.5,240.34
道瓊鋼鐵指數,2019-04-16,240.78,239.8,240.99,239.04
道瓊鋼鐵指數,2019-04-15,239.22,240.15,241.07,238.18
