Date,Price,Open,High,Low,Vol.,Change %
30-Nov-17,555,520,520,520,-,0.00%
29-Nov-17,520,520,520,520,-,0.00%
28-Nov-17,520,520,520,520,-,-0.19%
27-Nov-17,520,521,521,521,-,0.00%
24-Nov-17,521,521,521,521,-,0.00%
23-Nov-17,521,521,521,521,-,0.00%
22-Nov-17,521,521,521,521,0.01K,0.77%
21-Nov-17,521,517,517,517,-,0.00%
20-Nov-17,517,517,517,517,-,0.00%
17-Nov-17,517,517,517,517,-,0.00%
16-Nov-17,517,517,517,517,-,0.00%
15-Nov-17,517,517,517,517,-,0.00%
14-Nov-17,517,517,517,517,-,0.00%
13-Nov-17,517,517,517,517,-,-0.39%
10-Nov-17,517,519,519,519,-,-0.57%
9-Nov-17,519,522,522,522,-,0.00%
8-Nov-17,522,522,522,522,-,0.00%
7-Nov-17,522,522,522,522,-,0.00%
6-Nov-17,522,522,522,522,0.05K,-0.76%
3-Nov-17,522,526,526,526,-,0.00%
2-Nov-17,526,526,526,526,-,0.00%
1-Nov-17,526,526,526,526,0.01K,0.67%
31-Oct-17,526,522.5,522.5,522.5,-,0.00%
30-Oct-17,522.5,522.5,522.5,522.5,0.02K,-0.85%
27-Oct-17,522.5,527,527,527,0.06K,2.13%
26-Oct-17,527,516,516,516,0.00K,-0.39%
25-Oct-17,516,518,518,518,-,0.00%
24-Oct-17,518,518,518,518,-,0.00%
23-Oct-17,518,518,518,518,-,0.00%
20-Oct-17,518,518,518,518,-,0.00%
19-Oct-17,518,518,518,518,-,-0.38%
18-Oct-17,518,520,520,520,-,-0.19%
17-Oct-17,520,521,521,521,-,-0.38%
16-Oct-17,521,523,523,523,-,0.00%
13-Oct-17,523,523,523,523,0.55K,1.36%
12-Oct-17,523,516,516,516,0.01K,-1.71%
11-Oct-17,516,525,525,525,0.06K,1.74%
10-Oct-17,525,516,516,516,0.03K,0.00%
9-Oct-17,516,516,516,516,-,0.00%
6-Oct-17,516,516,516,516,-,0.00%
5-Oct-17,516,516,516,516,-,-1.71%
4-Oct-17,516,525,525,525,0.06K,0.00%
3-Oct-17,525,525,525,525,-,-0.94%
2-Oct-17,525,530,530,530,-,0.00%
29-Sep-17,530,530,530,530,0.00K,-2.75%
28-Sep-17,530,545,545,545,-,0.00%
27-Sep-17,545,545,545,545,-,-0.37%
26-Sep-17,545,547,547,547,-,0.00%
25-Sep-17,547,547,547,547,-,-0.55%
22-Sep-17,547,550,550,550,-,0.00%
21-Sep-17,550,550,550,550,-,-0.18%
20-Sep-17,550,551,551,551,-,-0.36%
19-Sep-17,551,553,553,553,-,-0.90%
18-Sep-17,553,558,558,558,-,-0.36%
15-Sep-17,558,560,560,560,0.00K,0.00%
14-Sep-17,560,560,560,560,0.00K,0.00%
13-Sep-17,560,560,560,560,0.01K,-0.18%
12-Sep-17,560,561,561,561,0.02K,-0.36%
11-Sep-17,561,563,563,563,0.09K,-0.35%
8-Sep-17,563,565,565,565,0.22K,1.99%
7-Sep-17,565,554,554,554,0.03K,-0.36%
6-Sep-17,554,556,556,556,0.03K,0.72%
5-Sep-17,556,552,552,552,0.05K,1.10%
4-Sep-17,552,546,546,546,0.01K,0.74%
1-Sep-17,546,542,542,542,-,4.03%
31-Aug-17,542,521,521,521,-,0.00%
30-Aug-17,521,521,521,521,-,0.00%
29-Aug-17,521,521,521,521,-,0.00%
25-Aug-17,521,521,521,521,-,0.00%
24-Aug-17,521,521,521,521,-,0.00%
23-Aug-17,521,521,521,521,0.00K,0.19%
22-Aug-17,521,520,520,520,-,0.00%
21-Aug-17,520,520,520,520,-,0.00%
18-Aug-17,520,520,520,520,-,0.00%
17-Aug-17,520,520,520,520,-,-0.38%
16-Aug-17,520,522,522,522,-,0.00%
15-Aug-17,522,522,522,522,-,0.00%
14-Aug-17,522,522,522,522,-,-0.57%
11-Aug-17,522,525,525,525,0.12K,0.57%
10-Aug-17,525,522,522,522,0.01K,0.00%
9-Aug-17,522,522,522,522,0.10K,-1.32%
8-Aug-17,522,529,529,529,0.03K,1.34%
7-Aug-17,529,522,522,522,0.03K,0.77%
4-Aug-17,522,518,518,518,0.05K,-0.19%
3-Aug-17,518,519,519,519,0.20K,1.57%
2-Aug-17,519,511,511,511,0.04K,1.39%
1-Aug-17,511,504,504,504,0.04K,0.80%
31-Jul-17,504,500,500,500,0.21K,0.30%
28-Jul-17,500,498.5,498.5,498.5,0.10K,8.84%
27-Jul-17,498.5,458,458,458,-,0.00%
26-Jul-17,458,458,458,458,-,0.00%
25-Jul-17,458,458,458,458,-,0.00%
24-Jul-17,458,458,458,458,-,0.00%
21-Jul-17,458,458,458,458,-,0.00%
20-Jul-17,458,458,458,458,-,0.00%
19-Jul-17,458,458,458,458,-,0.00%
18-Jul-17,458,458,458,458,-,0.00%
17-Jul-17,458,458,458,458,-,0.00%
14-Jul-17,458,458,458,458,-,0.00%
13-Jul-17,458,458,458,458,0.03K,-0.87%
12-Jul-17,458,462,462,462,0.05K,0.43%
11-Jul-17,462,460,460,460,0.05K,0.88%
10-Jul-17,460,456,456,456,0.00K,0.88%
7-Jul-17,456,452,452,452,-,0.00%
6-Jul-17,452,452,452,452,0.04K,0.67%
5-Jul-17,452,449,449,449,0.01K,-0.66%
4-Jul-17,449,452,452,452,0.02K,5.84%
3-Jul-17,452,427.07,427.07,427.07,-,-0.45%
30-Jun-17,427.07,429,429,429,-,0.00%
29-Jun-17,429,429,429,429,0.00K,-0.23%
28-Jun-17,429,430,430,430,0.00K,-0.46%
27-Jun-17,430,432,432,432,-,0.00%
26-Jun-17,432,432,432,432,-,0.00%
23-Jun-17,432,432,432,432,-,0.00%
22-Jun-17,432,432,432,432,0.00K,-0.23%
21-Jun-17,432,433,433,433,-,-0.23%
20-Jun-17,433,434,434,434,-,0.00%
19-Jun-17,434,434,434,434,0.00K,-1.36%
16-Jun-17,434,440,440,440,0.05K,1.62%
15-Jun-17,440,433,433,433,0.01K,0.00%
14-Jun-17,433,433,433,433,0.02K,-0.69%
13-Jun-17,433,436,436,436,0.00K,-0.46%
12-Jun-17,436,438,438,438,0.00K,0.46%
9-Jun-17,438,436,436,436,0.01K,0.69%
8-Jun-17,436,433,433,433,0.01K,0.00%
7-Jun-17,433,433,433,433,0.00K,-0.46%
6-Jun-17,433,435,435,435,-,-1.14%
5-Jun-17,435,440,440,440,0.00K,-1.79%
2-Jun-17,440,448,448,448,-,4.11%
1-Jun-17,448,430.33,430.33,430.33,-,-0.62%
31-May-17,430.33,433,433,433,-,0.00%
30-May-17,433,433,433,433,-,0.00%
26-May-17,433,433,433,433,-,0.00%
25-May-17,433,433,433,433,-,0.00%
24-May-17,433,433,433,433,0.00K,-0.46%
23-May-17,433,435,435,435,-,0.00%
22-May-17,435,435,435,435,0.00K,0.46%
19-May-17,435,433,433,433,0.00K,0.00%
18-May-17,433,433,433,433,-,0.00%
17-May-17,433,433,433,433,0.01K,0.23%
16-May-17,433,432,432,432,-,0.00%
15-May-17,432,432,432,432,-,-0.69%
12-May-17,432,435,435,435,-,0.00%
11-May-17,435,435,435,435,-,-0.68%
10-May-17,435,438,438,438,0.05K,1.15%
9-May-17,438,433,433,433,0.00K,1.41%
8-May-17,433,427,427,427,0.02K,0.47%
5-May-17,427,425,425,425,0.04K,-2.30%
4-May-17,425,435,435,435,0.64K,0.00%
3-May-17,435,435,435,435,0.01K,2.64%
2-May-17,435,423.81,423.81,423.81,-,-0.28%
28-Apr-17,423.81,425,425,425,-,0.00%
27-Apr-17,425,425,425,425,-,0.00%
26-Apr-17,425,425,425,425,-,0.00%
25-Apr-17,425,425,425,425,-,0.00%
24-Apr-17,425,425,425,425,-,0.00%
21-Apr-17,425,425,425,425,-,0.00%
20-Apr-17,425,425,425,425,-,0.00%
19-Apr-17,425,425,425,425,-,0.00%
18-Apr-17,425,425,425,425,-,0.00%
13-Apr-17,425,425,425,425,-,0.00%
12-Apr-17,425,425,425,425,0.05K,-1.62%
11-Apr-17,425,432,432,432,-,0.00%
10-Apr-17,432,432,432,432,-,-1.82%
7-Apr-17,432,440,440,440,-,-0.11%
6-Apr-17,440,440.5,440.5,440.5,0.04K,-0.79%
5-Apr-17,440.5,444,444,444,0.04K,1.83%
4-Apr-17,444,436,436,436,0.04K,-0.07%
3-Apr-17,436,436.3,436.3,436.3,-,-0.84%
31-Mar-17,436.3,440,440,440,-,0.00%
30-Mar-17,440,440,440,440,0.45K,-0.23%
29-Mar-17,440,441,441,441,-,0.00%
28-Mar-17,441,441,441,441,-,-0.23%
27-Mar-17,441,442,442,442,-,0.00%
24-Mar-17,442,442,442,442,0.30K,0.00%
23-Mar-17,442,442,442,442,-,-0.45%
22-Mar-17,442,444,444,444,-,-0.89%
21-Mar-17,444,448,448,448,-,-0.44%
20-Mar-17,448,450,450,450,0.00K,0.45%
17-Mar-17,450,448,448,448,-,0.00%
16-Mar-17,448,448,448,448,-,0.00%
15-Mar-17,448,448,448,448,-,0.11%
14-Mar-17,448,447.5,447.5,447.5,-,-1.32%
13-Mar-17,447.5,453.5,453.5,453.5,-,0.00%
10-Mar-17,453.5,453.5,453.5,453.5,0.03K,0.55%
9-Mar-17,453.5,451,451,451,-,0.00%
8-Mar-17,451,451,451,451,0.04K,0.45%
7-Mar-17,451,449,449,449,0.04K,-0.22%
6-Mar-17,449,450,450,450,0.03K,0.90%
3-Mar-17,450,446,446,446,-,-1.00%
2-Mar-17,446,450.5,450.5,450.5,-,8.95%
1-Mar-17,450.5,413.5,413.5,413.5,0.03K,0.61%
28-Feb-17,413.5,411,411,411,0.03K,-1.56%
27-Feb-17,411,417.5,417.5,417.5,-,0.00%
24-Feb-17,417.5,417.5,417.5,417.5,-,0.00%
23-Feb-17,417.5,417.5,417.5,417.5,-,0.00%
22-Feb-17,417.5,417.5,417.5,417.5,-,-0.12%
21-Feb-17,417.5,418,418,418,-,0.00%
